"		lfd. Nummer";Veroeffentlichungs-Nummer;Anmeldedatum;Erfinder;Anmelder/Inhaber;Titel;Zusammenfassung;Länderkürzel;Land;Prozessstand;Anmelderländerkürzel;Anmelderland
179;EP000003564881A1;02.05.2019;"BADDAM SHARATH CHANDER REDDY, US; BIERNAT TIM S, US; GOVINDARAJ SUBBIAN, US; REICHARD DOUGLAS J, US; WEINHOFER JUERGEN K, US";ROCKWELL AUTOMATION TECH INC, US; [DE] BLOCKCHAINFÄHIGE INDUSTRIEVORRICHTUNGEN  [EN] BLOCKCHAIN-ENABLED INDUSTRIAL DEVICES  [FR] DISPOSITIFS INDUSTRIELS ACTIVÉS PAR CHAINE DE BLOC; [EN]  Blockchain-enabled industrial devices and associated systems are configured to support the use of industrial blockchains in connection with product and machine tracking, subscription-based industrial services, device lifecycle management, and other functions. Collections of industrial devices can collectively serve as an industrial blockchain system, with multiple such systems within a supply chain yielding an industrial blockchain ecosystem. This architecture can create distributed, decentralized, tamper-proof records of manufacturing statistics for a product, a product's history within the larger supply chain, industrial asset usage histories that can be leveraged in connection with lifecycle management, machine usage history for use in connection with subscription-based machine operation, and other such information. The blockchain-enabled industrial devices can be configured to generate multiple versions of a product or machine's blockchain having respective different access ...;EP;Europa;A;US;USA
180;EP000003564845A1;28.12.2017;NAKAMURA TAKAYUKI, JP;OKEIOS INC, JP; [DE] DATENNUTZUNGSVERFAHREN, SYSTEM UND PROGRAMM DAFÜR UNTER VERWENDUNG EINES BLOCKKETTENNETZWERKS (BCN)  [EN] DATA USAGE METHOD, SYSTEM, AND PROGRAM THEREOF EMPLOYING BLOCKCHAIN NETWORK (BCN)  [FR] ...;" [EN]  The purpose of the present invention is to provide a new data utilization system in which, while an individual independently uses and utilizes one's own personal data, security and anonymity of the data can be effected. An information processing device used by an individual comprises: a function of transmitting, over a network, data relating to an address on a blockchain network used by the individual to a provider-side information processing device comprising a storage device that is a provision source of data associated with information about the individual; a function of referring to access data (ACT) that includes the data relating to the blockchain network address and data for identifying the provision source of the data and that is issued by the provision-side information processing device for the blockchain network address; and a function of, on the basis of the access data (ACT), acquiring the data associated with the information about the individual from the provider-side ...";EP;Europa;A;JP;Japan
181;EP000003557341A1;19.04.2018;JEHL GAUTIER, DE;SIEMENS AG, DE; [DE] VERFAHREN UND VERWALTUNGSEINRICHTUNG ZUR OPTIMIERUNG EINES INDUSTRIELLEN PROZESSES  [EN] METHOD AND ADMINISTRATION DEVICE FOR OPTIMIZING AN INDUSTRIAL PROCESS  [FR] PROCÉDÉ ET DISPOSITIF DE GESTION ...; [DE]  Die Erfindung betrifft ein Verfahren und eine Verwaltungseinrichtung (DS) zur Optimierung eines industriellen Prozesses, insbesondere einer industriellen Automatisierungsaufgabe oder eines industriellen Verfahrens, vorgeschlagen, wobei der industrielle Prozess oder ein Teil davon mittels eines Simulationsmodells (VSM) abgebildet wird und das Simulationsmodell (VSM) mittels einer Ausführungsumgebung (SC) ausgeführt wird, wobei der Ausführungsumgebung (SC) aktuelle Zustandsparameter (ZP) des industriellen Prozesses zur Verfügung gestellt werden, und wobei bei der Ausführung des Simulationsmodells (VSM) optimierte Steuerungsparameter (OP) für den industriellen Prozess ermittelt und zur Optimierung des industriellen Prozesses verwendet werden. Dabei wird mittels einer Verwaltungseinrichtung (DS) ein Simulationsauftrag (SA) erstellt und eine Anzahl potentieller Vertragspartner zur Ausführung angeboten, wobei der Simulationsauftrag (SA) das Simulationsmodell (VSM) und die Zustandsparameter ...;EP;Europa;A;DE;Deutschland
182;EP000003550532A1;10.09.2018;"CHEN HUI, CN; CUI HUA, CN; TAN ZHI, CN; XU BO, CN; YANG YUSEN, CN";HEPU TECH DEVELOPMENT BEIJING CO LTD, CN; [DE] INTELLIGENTES STROMZÄHLERSYSTEM MIT LIGHTWALLET  [EN] INTELLIGENT ELECTRICITY METER SYSTEM WITH LIGHT WALLET  [FR] SYSTÈME DE COMPTEUR ÉLECTRIQUE INTELLIGENT À PORTEFEUILLE LÉGER; [EN]  The present invention discloses an intelligent electricity meter system with a light wallet, including a CPU, a metering module, a blockchain light wallet module and a communication module. By using a blockchain light wallet module, the present invention solves the problems that the electricity meter in the prior art cannot implement the peer-to-peer electricity transaction, and electric quantity collection, transaction and recording of the distributed wind photovoltaic and storage battery, and the demand for the energy Internet big data cannot be met. The distributed electricity generation and storage as well as the bi-directional metering of electric energy production and electricity consumption of an electricity user are implemented, such that the electricity quantity of a scattered intelligent microgrid may be metered, transacted and recorded. The distributed electricity generation side and utilization side make the microgrid more feasible economically by taking the intelligent ...;EP;Europa;A;CN;China
183;EP000003547734A1;30.03.2018;"MOUSTAKAS NIKOS, NL; TENG SONG, NL";KONINKLIJKE KPN NV, NL; [DE] AUTHENTIFIZIERUNG FÜR EIN KOMMUNIKATIONSSYSTEM  [EN] AUTHENTICATION FOR A COMMUNICATION SYSTEM  [FR] AUTHENTIFICATION POUR SYSTÈME DE COMMUNICATION; [EN]  A method to authenticate a communication device (110) for a communication network (100), the authentication method comprising a registration part and a use part, wherein the registration part comprises- establishing a connection between the communication device (110) and a primary authentication system (210), the communication device (110) and the primary authentication system (210) having a shared secret key (112),- authenticating the communication device (110) to the primary authentication system (210) through a challenge response protocol depending on the key (112).- generating at the communication device (110) a key-pair having a public key and a private key, and computing a public address from the public key,- sending the public address to a secondary authentication system (220) by the primary authentication system (210). ;EP;Europa;A;NL;Niederlande
184;EP000003547639B1;15.12.2018;"CHOI IK JUNG, KR; CHON JAEKYUNG, KR; KIM CHANGHOON, KR; KIM NAMHEE, KR; PARK HYUN MIN, KR; PARK JIEUN, KR; SEO HANSOL, KR; SEO JEONGSUN, KR; YANG JOSHUA SUNGWOO, KR";"MACROGEN EUROPE B V, NL; MACROGEN INC SUCURSAL EN ESPANA, ES; MACROGEN INC, KR"; [DE] DATENAUSTAUSCHVERFAHREN BASIEREND AUF EINER VIELZAHL VON BLOCKKETTEN  [EN] DATA SHARING METHOD BASED ON PLURALITY OF BLOCKCHAINS  [FR] PROCÉDÉ DE PARTAGE DE DONNÉES SUR LA BASE D'UNE PLURALITÉ ...;;EP;Europa;B;KR;Südkorea
185;EP000003543887B1;18.03.2019;"BITTON RON, IL; BRODT OLEG, IL; ELOVICI YUVAL, IL; LEIBA ODED, IL; MIMRAN DAVID, IL; NADLER ASAF, IL; SHABTAI ASAF, IL; YZHAK YECHIAV, IL";DEUTSCHE TELEKOM AG, DE; [DE] ANREIZ FÜR DIE BEREITSTELLUNG VON IOT-SOFTWARE-AKTUALISIERUNGEN AUF BASIS VON UNZUVERLÄSSIGEM VERTRIEBSNACHWEIS  [EN] INCENTIVIZED DELIVERY NETWORK OF IOT SOFTWARE UPDATES BASED ON TRUSTLESS PROOF-OF-DISTRIBUTION ...;;EP;Europa;B;DE;Deutschland
186;EP000003540674A1;22.02.2019;MARCHETTO JARNO, CH;CORNER BANCA SA, CH; [DE] VERFAHREN UND SYSTEM ZUR ERZEUGUNG VON BENUTZERINITIIERTEN FÖDERIERTEN IDENTITÄTEN  [EN] METHOD AND SYSTEM FOR THE GENERATION OF USER-INITIATED FEDERATED IDENTITIES  [FR] PROCÉDÉ ET SYSTÈME DE ...;" [EN]  A method for generating user-initiated federated identities, said method being characterized in that it comprises:- Providing a plurality of electronic data sets (104) stored in one or more files (103) of an electronic memory (102) of a first entity (100) being an identity certification subject, each electronic data set (104) including identity information univocally pertaining to a respective second entity or subject (201);- Accessing one electronic data set (104)- selecting (1001) a sub-set of identity information from the accessed electronic data set (104);- generating (1002) a digital asset file (302) containing the sub-set of identity information, wherein said step of selecting (1001) is performed either by the first or the second entity, said step of generation (1002) is performed after the step of selection (1001) and is performed by said first entity (100);- A subsequent step of automatic generation (1003) of an hash file (301) of said digital asset file (302), said step ...";EP;Europa;A;CH;Schweiz
187;EP000003540663A1;17.01.2019;"COCCHI ANDREA, IT; LAZZARINI ROBERTO, IT";ALI GROUP SRL CARPIGIANI, IT; [DE] MASCHINE UND PRODUKTIONSANLAGE ZUR HERSTELLUNG VON FLÜSSIGEN ODER HALBFLÜSSIGEN LEBENSMITTELPRODUKTEN  [EN] MACHINE AND PRODUCTION SYSTEM FOR MAKING LIQUID OR SEMI-LIQUID FOOD PRODUCTS  [FR] MACHINE ...;" [EN]  A machine (1) for making liquid or semi-liquid food products is described, comprising: a first processing container (2) for processing a basic liquid or semi-liquid product and defining a processing chamber (3); a stirrer (4) positioned inside the first processing container (2); a thermal system (5) comprising a heat exchanger (6), associated with the first processing container (2); at least one sensor (50), configured to measure an operating parameter of the machine (1); a processing and control unit (7), operatively connected to the at least one sensor (50) and comprising a module (8) for receiving and transmitting data captured by the sensor (50), characterised in that the module (8) for receiving and transmitting data is configured to transmit data captured by the sensor (50) to a smart contract"" program. """;EP;Europa;A;IT;Italien
188;EP000003540662A1;15.03.2018;"VICTOR FRIEDHELM, DE; WESTERKAMP MARTIN, DE";"DEUTSCHE TELEKOM AG, DE; UNIV BERLIN TECH, DE"; [DE] COMPUTERIMPLEMENTIERTES VERFAHREN ZUR LIEFERKETTENVERWALTUNG UND -HERKUNFT IN EINEM DATENVERARBEITUNGSNETZWERK  [EN] COMPUTER IMPLEMENTED METHOD FOR SUPPLY CHAIN MANAGEMENT AND PROVENANCE IN A ...;" [EN]  A computer-implemented method for supply chain provenance in a data processing network, wherein the network has at least one physical node and the network is configured to perform at least one blockchain process; wherein the blockchain process is configured to process digital tokens by means of at least one smart contract, wherein tokens correspond to at least one unit of a good and a batch of goods in the supply chain; wherein every token is uniquely identifiable; and wherein the method comprises executing a specific one of the at least one smart contract for every production step of the supply chain. ";EP;Europa;A;DE;Deutschland
189;EP000003537363A1;05.03.2019;"MARTIN ROBERT, US; MILLER WALTER AVERY, US; SMITH BRADLEY W, US";CAPITAL ONE SERVICES LLC, US; [DE] SYSTEME UND VERFAHREN ZUR VERWENDUNG VON VERTEILTER LEDGER-TECHNOLOGIE ZUR AUFZEICHNUNG UND NUTZUNG VON KREDITKONTOTRANSAKTIONSINFORMATIONEN  [EN] SYSTEMS AND METHODS FOR USE OF DISTRIBUTED LEDGER ...;" [EN]  Disclosed is a distributed ledger processing system (400) that comprises a processor (302) and a memory (318, 322). The memory stores computer readable instructions that when executed by the processor (302) cause the processor (302) to perform the steps of: receiving, at a first node of a networked distributed ledger (100, 412), a transaction indication (406) associated with a primary account number (PAN), the transaction indication (406) including transaction data (204) and block-level permission data (206, 338); extracting the transaction data (204) and the block-level permission data (206, 338) from the transaction indication (406); appending, to a PAN-specific chain (408), a block (112, 409) comprising the extracted transaction data (204); designating the block (112, 409) as selectively modifiable by an API according to the extracted block-level permission data (206, 338); modifying, with the API, the selectively modifiable block (120) at a block level; retrieving, from a database ...";EP;Europa;A;US;USA
